Date,Open,High,Low,Close,Volume
2016-10-03,158.060,158.370,157.020,157.610,2227800
2016-10-04,157.670,158.530,155.820,156.460,2884146
2016-10-05,157.070,157.830,156.720,157.080,1684458
2016-10-06,156.840,157.430,155.890,156.880,1950106
2016-10-07,157.140,157.700,154.860,155.670,2671852
2016-10-10,156.710,158.490,156.660,157.020,2481288
2016-10-11,156.730,156.950,153.890,154.790,2901326
2016-10-12,154.970,154.970,153.080,154.290,2963968
2016-10-13,153.700,154.220,152.270,153.720,2909948
2016-10-14,154.470,155.530,154.090,154.450,4358197
2016-10-17,154.450,155.890,154.340,154.770,5890421
2016-10-18,150.020,151.000,147.790,150.720,12770570
2016-10-19,151.270,152.450,150.830,151.260,4632854
2016-10-20,151.280,152.900,151.020,151.520,4023103
2016-10-21,150.580,151.150,149.560,149.630,4414206
2016-10-24,150.400,151.520,150.400,150.570,2666740
2016-10-25,150.690,151.160,149.830,150.880,2647487
2016-10-26,150.710,152.940,150.260,151.810,2811728
2016-10-27,152.820,154.060,152.020,153.350,4229336
2016-10-28,154.050,154.440,152.180,152.610,3654496
2016-10-31,152.760,154.330,152.760,153.690,3553172
2016-11-01,153.500,153.910,151.740,152.790,3191924
2016-11-02,152.480,153.340,151.670,151.950,3074438
2016-11-03,152.510,153.740,151.800,152.370,2878803
2016-11-04,152.400,153.640,151.870,152.430,2470368
2016-11-07,153.990,156.110,153.840,155.720,3804943
2016-11-08,154.560,155.930,153.060,155.170,3921944
2016-11-09,152.960,155.560,151.000,154.810,5403688
2016-11-10,157.660,161.160,157.590,160.220,7715807
2016-11-11,159.970,161.340,159.330,161.270,4446630
2016-11-14,161.250,161.860,157.580,158.210,5196498
2016-11-15,158.420,159.150,157.550,158.670,3476996
2016-11-16,158.460,159.550,158.030,159.290,2252806
2016-11-17,159.220,159.930,158.850,159.800,2258716
2016-11-18,159.800,160.720,159.210,160.390,2981633
2016-11-21,160.690,163.000,160.370,162.770,4637097
2016-11-22,163.000,163.000,161.950,162.670,2770789
2016-11-23,161.940,162.380,161.360,161.980,2256165
2016-11-25,161.830,163.190,161.830,163.140,1605344
2016-11-28,163.200,164.660,162.700,164.520,4449355
2016-11-29,164.000,164.410,163.030,163.530,3148196
2016-11-30,163.350,163.800,162.210,162.220,4397817
2016-12-01,161.950,162.200,158.300,159.820,4635665
2016-12-02,159.000,160.290,158.410,160.020,2740867
2016-12-05,160.850,161.150,159.590,159.840,3447052
2016-12-06,160.130,160.790,158.930,160.350,2858962
2016-12-07,160.600,165.180,160.390,164.790,4435050
2016-12-08,164.870,166.000,164.220,165.360,3266436
2016-12-09,165.180,166.720,164.600,166.520,3146930
2016-12-12,166.720,166.790,165.070,165.500,3392331
2016-12-13,165.680,169.950,165.680,168.290,5932271
2016-12-14,168.370,169.890,167.450,168.510,4124161
2016-12-15,168.010,169.850,167.780,168.020,3388570
2016-12-16,168.970,169.110,166.060,166.730,7120572
2016-12-19,166.830,167.260,166.000,166.680,2955906
2016-12-20,167.490,168.250,166.450,167.600,2174569
2016-12-21,166.250,167.940,165.250,167.330,3575721
2016-12-22,167.360,168.230,166.580,167.060,2802631
2016-12-23,167.000,167.490,166.450,166.710,1701228
2016-12-27,166.980,167.980,166.850,167.140,1397455
2016-12-28,167.290,167.740,166.000,166.190,1757500
2016-12-29,166.020,166.990,166.000,166.600,1663542
2016-12-30,166.440,166.700,165.500,165.990,2952825
2017-01-03,167.000,167.870,166.010,167.190,2934299
2017-01-04,167.770,169.870,167.360,169.260,3381432
2017-01-05,169.250,169.390,167.260,168.700,2682301
2017-01-06,168.690,169.920,167.520,169.530,2945536
2017-01-09,169.470,169.800,167.620,167.650,3189891
2017-01-10,167.980,168.090,165.340,165.520,4118694
2017-01-11,166.050,167.760,165.600,167.750,3599464
2017-01-12,167.770,168.010,165.560,167.950,2927973
2017-01-13,167.970,168.480,166.880,167.340,2875433
2017-01-17,166.690,168.180,166.120,167.890,3315655
2017-01-18,167.450,168.590,166.690,166.800,4007779
2017-01-19,166.960,167.450,165.800,166.810,6963386
2017-01-20,167.810,170.640,166.000,170.550,12690029
2017-01-23,170.080,171.250,170.010,171.030,5478224
2017-01-24,171.360,176.000,171.160,175.900,6952369
2017-01-25,176.260,179.250,176.130,178.290,5922462
2017-01-26,178.060,178.880,177.510,178.660,3063924
2017-01-27,178.470,179.200,177.300,177.300,3482311
2017-01-30,176.980,177.070,174.580,175.800,4094755
2017-01-31,175.050,175.580,173.610,174.520,4138962
2017-02-01,175.000,175.700,172.890,174.290,2795745
2017-02-02,174.230,174.970,173.550,174.580,2620526
2017-02-03,175.000,176.340,174.890,175.820,3309288
2017-02-06,175.310,175.980,174.380,175.860,2650785
2017-02-07,176.000,178.620,175.900,178.460,3873455
2017-02-08,177.500,177.500,175.880,176.170,2913126
2017-02-09,176.170,177.800,175.910,177.210,3090710
2017-02-10,177.370,178.870,176.760,178.680,2930710
2017-02-13,179.240,179.900,178.840,179.360,3093372
2017-02-14,178.570,180.130,178.350,180.130,2776528
2017-02-15,180.200,181.920,179.810,181.680,2914292
2017-02-16,181.450,182.790,180.870,181.430,3251547
2017-02-17,181.250,181.570,180.000,180.670,3552495
2017-02-21,180.600,180.790,179.120,180.260,4480299
2017-02-22,180.090,181.340,180.090,181.150,3020540
2017-02-23,182.000,182.500,180.920,181.650,2282526
2017-02-24,180.210,181.490,179.890,181.350,3300093
2017-02-27,181.190,181.250,179.280,179.400,3691327
2017-02-28,179.380,180.630,179.350,179.820,3273420
2017-03-01,180.480,182.550,180.030,181.950,3005564
2017-03-02,181.880,181.880,180.430,180.530,2918183
2017-03-03,180.040,181.320,179.760,180.050,1825048
2017-03-06,179.720,180.990,179.570,180.470,3204434
2017-03-07,180.710,181.290,180.200,180.380,2980516
2017-03-08,180.750,180.950,179.300,179.450,3557396
2017-03-09,179.150,179.250,175.880,177.180,5444076
2017-03-10,178.210,179.490,177.420,177.830,3100326
2017-03-13,177.850,178.060,176.420,176.460,3482189
2017-03-14,176.180,176.820,175.210,175.720,3147497
2017-03-15,175.710,176.280,174.750,175.810,3815537
2017-03-16,178.460,179.000,176.820,177.240,4311848
2017-03-17,176.290,176.790,175.650,175.650,5920967
2017-03-20,175.650,176.180,175.140,175.700,2476125
2017-03-21,176.010,176.230,173.840,173.880,3927741
2017-03-22,174.040,175.060,172.800,174.780,3450512
2017-03-23,174.430,175.670,173.560,174.820,3739976
2017-03-24,175.120,175.500,173.390,173.830,3221675
2017-03-27,172.690,174.160,172.090,173.770,3259049
2017-03-28,173.940,175.000,173.000,174.510,3523870
2017-03-29,174.300,174.490,173.460,173.940,3085606
2017-03-30,173.860,174.590,173.690,173.860,3168254
2017-03-31,173.980,174.950,173.690,174.140,2913684
2017-04-03,173.820,174.870,173.380,174.500,4286498
2017-04-04,173.520,174.960,173.260,174.520,3108885
2017-04-05,174.700,176.330,172.810,172.880,6238894
2017-04-06,173.470,173.470,172.250,172.450,3435403
2017-04-07,172.080,172.930,171.280,172.140,3588302
2017-04-10,172.530,172.560,171.000,171.200,3789936
2017-04-11,170.650,171.230,168.980,170.580,4891911
